Year,Date,Water,Nitrogen,Block,No.aphids/leaf
1,1,3,1,1,0.1833
1,1,3,1,2,0.4167
1,1,3,1,3,0.3667
1,1,3,2,1,0.2333
1,1,3,2,2,0.5167
1,1,3,2,3,0.6
1,1,3,3,1,0.6833
1,1,3,3,2,0.45
1,1,3,3,3,0.9667
1,1,1,1,1,0.2
1,1,1,1,2,0.5167
1,1,1,1,3,0.6167
1,1,1,2,1,0.5333
1,1,1,2,2,0.4667
1,1,1,2,3,0.6
1,1,1,3,1,0.45
1,1,1,3,2,0.6167
1,1,1,3,3,0.6167
1,1,2,1,1,0.6833
1,1,2,1,2,0.3333
1,1,2,1,3,0.25
1,1,2,2,1,0.3
1,1,2,2,2,0.55
1,1,2,2,3,0.85
1,1,2,3,1,0.2667
1,1,2,3,2,0.4167
1,1,2,3,3,0.1833
1,2,3,1,1,0.8333
1,2,3,1,2,0.6833
1,2,3,1,3,0.7333
1,2,3,2,1,0.1667
1,2,3,2,2,1
1,2,3,2,3,0.5167
1,2,3,3,1,0.6167
1,2,3,3,2,0.7833
1,2,3,3,3,0.5833
1,2,1,1,1,0.6833
1,2,1,1,2,0.6667
1,2,1,1,3,2.1
1,2,1,2,1,0.8667
1,2,1,2,2,1.05
1,2,1,2,3,0.6333
1,2,1,3,1,0.7667
1,2,1,3,2,0.9
1,2,1,3,3,0.7
1,2,2,1,1,0.5333
1,2,2,1,2,0.8167
1,2,2,1,3,0.7167
1,2,2,2,1,0.45
1,2,2,2,2,0.9667
1,2,2,2,3,0.4167
1,2,2,3,1,0.35
1,2,2,3,2,1.4167
1,2,2,3,3,0.95
1,3,3,1,1,7.45
1,3,3,1,2,14.6167
1,3,3,1,3,8.7333
1,3,3,2,1,7.0667
1,3,3,2,2,12.6167
1,3,3,2,3,8
1,3,3,3,1,5.85
1,3,3,3,2,15.0333
1,3,3,3,3,11.9667
1,3,1,1,1,7.05
1,3,1,1,2,17.4833
1,3,1,1,3,8.6833
1,3,1,2,1,9.0167
1,3,1,2,2,14.9
1,3,1,2,3,9.0667
1,3,1,3,1,9.05
1,3,1,3,2,15.15
1,3,1,3,3,5.6
1,3,2,1,1,8.1
1,3,2,1,2,11.5333
1,3,2,1,3,12.9667
1,3,2,2,1,9.3
1,3,2,2,2,15.5333
1,3,2,2,3,11.1
1,3,2,3,1,7.1
1,3,2,3,2,15.8167
1,3,2,3,3,11.9667
1,4,3,1,1,8.6333
1,4,3,1,2,18.2333
1,4,3,1,3,36
1,4,3,2,1,7.1
1,4,3,2,2,17.5333
1,4,3,2,3,42.8
1,4,3,3,1,8.5
1,4,3,3,2,18.6333
1,4,3,3,3,26.3
1,4,1,1,1,11.5667
1,4,1,1,2,42.3
1,4,1,1,3,36.1
1,4,1,2,1,25.5
1,4,1,2,2,30.3333
1,4,1,2,3,37.5
1,4,1,3,1,11.3667
1,4,1,3,2,23.9
1,4,1,3,3,33
1,4,2,1,1,9.4
1,4,2,1,2,22.6667
1,4,2,1,3,42.8333
1,4,2,2,1,6.8
1,4,2,2,2,26.5667
1,4,2,2,3,22.0667
1,4,2,3,1,11.1333
1,4,2,3,2,25.2667
1,4,2,3,3,25.3667
1,6,3,1,1,0.15
1,6,3,1,2,0.2333
1,6,3,1,3,0.1
1,6,3,2,1,0.0833
1,6,3,2,2,0.0667
1,6,3,2,3,0.2667
1,6,3,3,1,0.2
1,6,3,3,2,0.1
1,6,3,3,3,0.15
1,6,1,1,1,0.0333
1,6,1,1,2,0.1167
1,6,1,1,3,0.1667
1,6,1,2,1,0.15
1,6,1,2,2,0.1
1,6,1,2,3,0.1167
1,6,1,3,1,0.05
1,6,1,3,2,0.1333
1,6,1,3,3,0.1333
1,6,2,1,1,0.0167
1,6,2,1,2,0.05
1,6,2,1,3,0.0833
1,6,2,2,1,0.0167
1,6,2,2,2,0.1667
1,6,2,2,3,0.1333
1,6,2,3,1,0.0167
1,6,2,3,2,0.0167
1,6,2,3,3,0.0667
2,1,3,1,1,0.1
2,1,3,1,2,0.2333
2,1,3,1,3,0
2,1,3,2,1,0.0333
2,1,3,2,2,0.2667
2,1,3,2,3,0
2,1,3,3,1,0.0333
2,1,3,3,2,0.1333
2,1,3,3,3,0.0667
2,1,1,1,1,0
2,1,1,1,2,0.1333
2,1,1,1,3,0
2,1,1,2,1,0.0667
2,1,1,2,2,0.0667
2,1,1,2,3,0
2,1,1,3,1,0
2,1,1,3,2,0.2333
2,1,1,3,3,0
2,1,2,1,1,0.0333
2,1,2,1,2,0.1
2,1,2,1,3,0
2,1,2,2,1,0.0333
2,1,2,2,2,0.0667
2,1,2,2,3,0.0667
2,1,2,3,1,0.0667
2,1,2,3,2,0.0667
2,1,2,3,3,0
2,2,3,1,1,0.0333
2,2,3,1,2,0.0333
2,2,3,1,3,0.2
2,2,3,2,1,0.0333
2,2,3,2,2,0.1667
2,2,3,2,3,0.1
2,2,3,3,1,0.0333
2,2,3,3,2,0.0333
2,2,3,3,3,0.2667
2,2,1,1,1,0.1333
2,2,1,1,2,0.0667
2,2,1,1,3,0.5
2,2,1,2,1,0
2,2,1,2,2,0.0333
2,2,1,2,3,0.1667
2,2,1,3,1,0.0333
2,2,1,3,2,0.1333
2,2,1,3,3,0.1333
2,2,2,1,1,0.0667
2,2,2,1,2,0.2333
2,2,2,1,3,0.1333
2,2,2,2,1,0.0667
2,2,2,2,2,0.0667
2,2,2,2,3,0.0333
2,2,2,3,1,0.0333
2,2,2,3,2,0.1333
2,2,2,3,3,0.0667
2,3,3,1,1,0.3667
2,3,3,1,2,0.5667
2,3,3,1,3,0.4
2,3,3,2,1,0.7
2,3,3,2,2,0.5
2,3,3,2,3,0.3
2,3,3,3,1,0.6
2,3,3,3,2,0.4333
2,3,3,3,3,0.3
2,3,1,1,1,0.5667
2,3,1,1,2,0.2333
2,3,1,1,3,0.3
2,3,1,2,1,0.3667
2,3,1,2,2,0.5
2,3,1,2,3,0.1667
2,3,1,3,1,0.2
2,3,1,3,2,0.3333
2,3,1,3,3,0.0667
2,3,2,1,1,0.7
2,3,2,1,2,0.5333
2,3,2,1,3,0.3667
2,3,2,2,1,0.4667
2,3,2,2,2,0.2333
2,3,2,2,3,0.2667
2,3,2,3,1,0.3667
2,3,2,3,2,0.3
2,3,2,3,3,0.4667
2,4,3,1,1,0.6
2,4,3,1,2,0.9
2,4,3,1,3,2.9
2,4,3,2,1,1.1333
2,4,3,2,2,0.3
2,4,3,2,3,1.8
2,4,3,3,1,0.9333
2,4,3,3,2,0.3
2,4,3,3,3,1.0667
2,4,1,1,1,1.0333
2,4,1,1,2,1.9
2,4,1,1,3,1.8
2,4,1,2,1,0.6333
2,4,1,2,2,1.5333
2,4,1,2,3,2.3
2,4,1,3,1,0.6
2,4,1,3,2,0.4333
2,4,1,3,3,1.6667
2,4,2,1,1,0.8
2,4,2,1,2,1.1333
2,4,2,1,3,2
2,4,2,2,1,0.5333
2,4,2,2,2,1
2,4,2,2,3,1.5667
2,4,2,3,1,0.4333
2,4,2,3,2,0.4333
2,4,2,3,3,0.9333
2,5,3,1,1,6.6
2,5,3,1,2,8
2,5,3,1,3,4.5667
2,5,3,2,1,5.4
2,5,3,2,2,7.2333
2,5,3,2,3,3.9333
2,5,3,3,1,4.6333
2,5,3,3,2,3.3333
2,5,3,3,3,4.8333
2,5,1,1,1,5.1667
2,5,1,1,2,7.9667
2,5,1,1,3,5.1
2,5,1,2,1,3.3667
2,5,1,2,2,7.5
2,5,1,2,3,5.8667
2,5,1,3,1,3.6333
2,5,1,3,2,2.8
2,5,1,3,3,4.9
2,5,2,1,1,5.9333
2,5,2,1,2,14.2333
2,5,2,1,3,3.1
2,5,2,2,1,3.2
2,5,2,2,2,8.3667
2,5,2,2,3,5.0667
2,5,2,3,1,4.2
2,5,2,3,2,4.1
2,5,2,3,3,5.0667
2,6,3,1,1,20.5
2,6,3,1,2,21.3667
2,6,3,1,3,17.1333
2,6,3,2,1,15.9
2,6,3,2,2,29.3
2,6,3,2,3,13.5
2,6,3,3,1,18.6
2,6,3,3,2,25.4333
2,6,3,3,3,15.9333
2,6,1,1,1,15.9
2,6,1,1,2,23.8
2,6,1,1,3,13.7667
2,6,1,2,1,17.5333
2,6,1,2,2,45.3333
2,6,1,2,3,14.1333
2,6,1,3,1,15.0333
2,6,1,3,2,32.3
2,6,1,3,3,19.5667
2,6,2,1,1,18.4333
2,6,2,1,2,21.2667
2,6,2,1,3,17.7333
2,6,2,2,1,16.9333
2,6,2,2,2,36.0667
2,6,2,2,3,15.2333
2,6,2,3,1,16.1333
2,6,2,3,2,26.5667
2,6,2,3,3,15.7
2,7,3,1,1,5.5333
2,7,3,1,2,13.8667
2,7,3,1,3,1.6
2,7,3,2,1,7.1
2,7,3,2,2,11.0667
2,7,3,2,3,2.8
2,7,3,3,1,11.1
2,7,3,3,2,5.3
2,7,3,3,3,0.8667
2,7,1,1,1,9.0333
2,7,1,1,2,13.7333
2,7,1,1,3,2.5
2,7,1,2,1,7
2,7,1,2,2,9.1
2,7,1,2,3,2
2,7,1,3,1,4.9
2,7,1,3,2,4.4333
2,7,1,3,3,0.7667
2,7,2,1,1,2.2
2,7,2,1,2,17.0667
2,7,2,1,3,6.7667
2,7,2,2,1,3.4
2,7,2,2,2,7.4333
2,7,2,2,3,3.0667
2,7,2,3,1,2.5
2,7,2,3,2,20.1
2,7,2,3,3,5.2
